,normal,metabolite,raw_pvalue(A0_A90),pvalue(A0_A90),significance(A0_A90),rf_importance,pca_value_total,pca_value_ptlist2,pca_value_ptlist1,raw_pvalue(A0_A90_combined),pvalue(A0_A90_combined),significance(A0_A90_combined)
Malonyl carnitine,,Malonyl carnitine,0.03863525390625,0.09361619215745193,0,0,,0.13202179194099464,0.12324143271436902,0.03863525390625,0.0787014431423611,0
Butyryl carnitine,,Butyryl carnitine,9.1552734375e-05,0.0005407333374023438,1,0.6335464758750018,0.11007884972799364,0.1104906935416912,0.010344613084609247,,,
Isobutyryl carnitine,,Isobutyryl carnitine,3.0517578125e-05,0.000213623046875,1,0.16690137849560455,0.10673076926124957,0.07616387948838474,0.032764898569803365,,,
Methylmalonyl carnitine,,Methylmalonyl carnitine,0.00762939453125,0.023638615842725412,1,0.07704932138704167,0.22920122767162251,0.12020550649770143,0.07975375982071196,,,
Succinyl carnitine,,Succinyl carnitine,0.00213623046875,0.008590373587101064,1,1.128449474331364,0.1579177096149368,0.0927280183818064,0.0855261240979469,0.00213623046875,0.005594889322916666,1
3-OH Butyl carnitine,,3-OH Butyl carnitine,3.0517578125e-05,0.000213623046875,1,9.907443736655681,0.19921789469278667,0.1033469459218181,0.14924127219793473,3.0517578125e-05,0.0001678466796875,1
2-Methylbutyryl carnitine,,2-Methylbutyryl carnitine,0.00213623046875,0.008590373587101064,1,0.20417467593381056,0.11359273429530674,0.06180207527387196,0.05703347810413567,,,
Isovelaryl carnitine,,Isovelaryl carnitine,0.00628662109375,0.020138498079978813,1,0.10599823051347851,0.10519717216136709,0.12450590194555049,0.03378631771431662,,,
3-OH isovelaryl carnitine,,3-OH isovelaryl carnitine,0.5618896484375,0.7127325070784396,0,0,,0.1712438926582551,0.13990371569974985,0.5618896484375,0.7358078729538691,0
C6:0 carnitine,,C6:0 carnitine,3.0517578125e-05,0.000213623046875,1,4.789768903380726,0.18754109882777545,0.1470186517566065,0.05969221029011474,,,
Adipoyl carnitine,,Adipoyl carnitine,0.083251953125,0.17290790264423078,0,0,,0.082618597773309,0.09322784639246023,,,
C8:0 carnitine,,C8:0 carnitine,3.0517578125e-05,0.000213623046875,1,4.251539751013009,0.19652907972580003,0.15810987484999955,0.06759936277171297,,,
C10:0 carnitine,,C10:0 carnitine,3.0517578125e-05,0.000213623046875,1,7.725653466479784,0.17677788945006345,0.13157802971439117,0.0771632197586119,,,
C12:0 carnitine,,C12:0 carnitine,3.0517578125e-05,0.000213623046875,1,6.187996963275563,0.1935887529436953,0.13157869566877012,0.1107055485119597,3.0517578125e-05,0.0001678466796875,1
C14:0 carnitine,,C14:0 carnitine,6.103515625e-05,0.00038452148437500004,1,1.523261595653757,0.1688036977742785,0.12355442953146259,0.1254775199971467,6.103515625e-05,0.0002582256610576923,1
C16:1 3-OH carnitine,,C16:1 3-OH carnitine,0.005157470703125,0.01710108706825658,1,0.7706744318292001,0.1280785026590915,0.11787594869803754,0.027300468180792768,,,
C16:0 carnitine,,C16:0 carnitine,0.004180908203125,0.0146331787109375,1,0.055313659347519695,0.15026863534436408,0.034227077652599566,0.11539998389127137,,,
C18:0 carnitine,,C18:0 carnitine,0.1590576171875,0.2757971527379587,0,0,,0.04728022726204145,0.09183880259391433,,,
C18:1 carnitine,,C18:1 carnitine,3.0517578125e-05,0.000213623046875,1,0.6987249049340203,0.14281140596911882,0.08205929874342711,0.0544308898612746,,,
C18:2 carnitine,,C18:2 carnitine,0.01824951171875,0.04857968612455986,1,0.07465715984795579,0.09861057632335422,0.06384309645590198,0.049795127011358194,,,
C20:4 carnitine,,C20:4 carnitine,0.01824951171875,0.04857968612455986,1,0.04279189752480054,0.0892142328551396,0.09118514980400876,0.02507692622447589,,,
Creatinine,,Creatinine,0.93988037109375,0.9814220449542472,0,0,,0.09944625994373066,0.08175936801212448,,,
Glycine,,Glycine,0.705718994140625,0.8495598082329817,0,0,,0.1839915772914474,0.07973757227771763,,,
Alanine,,Alanine,0.02899169921875,0.0740463669235642,0,0,,0.09299019799337321,0.08860535025486126,0.02899169921875,0.06132859450120193,0
Serine,,Serine,0.0506591796875,0.11820475260416667,0,0,,0.09958892924856694,0.14474831763483592,0.0506591796875,0.09607775457974138,0
Proline,,Proline,0.21142578125,0.335793887867647,0,0,,0.09874082426322199,0.035397763334133144,,,
Valine,,Valine,0.46021109814474837,0.6302891126765032,0,0,,0.12208824368952101,0.09157744318269909,0.46021109814474837,0.6327902599490289,0
Threonine,,Threonine,0.252227783203125,0.39074631988025105,0,0,,0.055813886820696955,0.09548406401963587,,,
